pred,prey,predator,feeding
2390.06315,69.22398899,Chaetognath,Mixed
2386.12151,83.34871191,Chaetognath,Mixed
5613.328494,133.0484723,Chaetognath,Mixed
7023.678746,148.8639388,Chaetognath,Mixed
7157.088532,179.253489,Chaetognath,Mixed
6074.13532,185.9128223,Chaetognath,Mixed
9344.897268,166.6006312,Chaetognath,Mixed
21581.12338,212.8046316,Chaetognath,Mixed
18303.55266,237.7276572,Chaetognath,Mixed
41454.95337,271.6207477,Chaetognath,Mixed
42033.7097,570.9102824,Chaetognath,Mixed
5573.62995,295.6457613,Chaetognath,Mixed
6151.825081,445.0039418,Chaetognath,Mixed
9451.932046,462.6419111,Chaetognath,Mixed
13616.99305,671.698925,Chaetognath,Mixed
17456.72031,490.3575707,Chaetognath,Mixed
21424.96093,481.7337434,Chaetognath,Mixed
17499.99336,371.1500116,Chaetognath,Mixed
18246.24217,338.2984633,Chaetognath,Mixed
11893.28868,275.3219684,Chaetognath,Mixed
19.00946775,1.481602518,Ciliates,Mixed
25.5696817,2.15443469,Ciliates,Mixed
29.94986367,2.697082983,Ciliates,Mixed
19.77594926,2.852886887,Ciliates,Mixed
25.5696817,3.505221341,Ciliates,Mixed
25.06926672,3.996004938,Ciliates,Mixed
53.12780686,3.440213263,Ciliates,Mixed
53.12780686,5.002498785,Ciliates,Mixed
62.22879857,6.032367686,Ciliates,Mixed
39.49721951,6.146358476,Ciliates,Mixed
41.9099938,8.138963591,Ciliates,Mixed
16.88370717,6.50141861,Ciliates,Mixed
66.03018123,10.18896526,Ciliates,Mixed
77.34139785,14.81602518,Ciliates,Mixed
129.2968614,16.57723886,Ciliates,Mixed
397.5635209,458.6144759,Copepods,Active
842.9775791,239.4546531,Copepods,Active
1296.461558,257.9674386,Copepods,Active
1486.301188,255.6816238,Copepods,Active
3420.775941,418.2167535,Copepods,Active
3004.310441,728.0059633,Copepods,Active
4947.229047,792.7254606,Copepods,Active
4170.403165,113.8588537,Copepods,Mixed
3216.758059,40.96332785,Copepods,Mixed
1332.382992,36.37406314,Copepods,Mixed
946.8062751,27.61018334,Copepods,Mixed
842.9775791,61.25168178,Copepods,Mixed
641.3892279,46.05426138,Copepods,Mixed
555.6574246,32.62874694,Copepods,Mixed
455.7783682,29.74211558,Copepods,Mixed
443.4904507,32.23706229,Copepods,Mixed
351.5556364,25.76197939,Copepods,Mixed
321.6758059,31.18704154,Copepods,Mixed
284.4499978,29.32174813,Copepods,Mixed
233.3202979,29.56793327,Copepods,Mixed
110.0380858,7.000849001,Copepods,Mixed
97.97108615,7.208851917,Copepods,Mixed
